well,pH,Eh,TDS,Ca,K,Mg,Na,HCO3,Cl,SO4,NO3,F,PO4,TH,TA,TS,SS,COD,BOD,DO,fault,geology,latitude,longitude,altitude.ft
1,7.5,377,1780,269,19,75,338,226,852,302,42,1.1,0.4,977,185,3320,1540,0.4,1.1,6.7,6000,Granite+Sand,28.63811,34.798061,257
2,7.4,382,1456,259,20,68,257,183,710,312,41,1,0.1,925,150,2946,1490,0.2,1.4,6.5,5000,Alkaline+Granite+Sand,28.603468,34.810458,1652
3,7.4,378,1471,476,35,66,238,189,710,797,40,1.1,0.1,1460,155,2976,1505,0.4,1.9,6.6,1000,Alkaline+Sandstone,28.575879,34.844785,924
4,7.5,382,1578,374,17,60,226,220,745,413,39,1.1,0.1,1180,180,3144,1566,0.8,1.5,6.7,2000,Alkaline,28.620362,34.876969,1815
5,7.7,376,1411,291,7,58,191,214,710,178,40,1.1,0.1,966,175,2906,1495,1,1.4,7,1000,Granite+Volcanic,28.560586,34.990046,1408
6,7.8,380,1400,464,3,58,338,159,710,935,40,1,0.1,1400,130,2880,1480,0.4,1.9,6.1,6000,Volcanic,28.602789,34.992551,2640
7,7.6,374,1683,369,17,83,272,128,781,606,42,1,0.1,1261,105,3198,1515,0.8,0.4,6,500,Gypsum,28.488311,34.976893,956
8,7.3,377,1184,330,10,42,132,128,568,341,42,1,0.1,998,105,2559,1375,1.2,1.5,7,4000,Alkaline,28.572316,34.807835,1312
9,7.5,370,1784,311,39,73,352,153,781,634,7,1,0.1,1078,125,3240,1456,0.4,1.9,7.5,6000,Gypsum,28.438361,34.786616,595
10,7.4,367,1319,316,8,59,447,134,639,925,45,1,0.1,1033,110,2820,1501,1,1.7,7.5,6000,Volcanic+Sandstone,28.553648,34.903739,2291
11,7.6,367,985,234,10,35,112,165,497,120,40,1,0.1,729,135,2317,1332,0.4,1.7,7,500,Alkaline+Granite,28.651337,34.876725,3168
12,7.6,386,1048,214,5,37,109,140,426,178,38,1,0.1,689,115,2488,1440,1.2,0.5,6.9,5000,Granite,28.584441,35.186706,2307
13,7.5,382,1878,399,6,72,267,165,1065,202,43,1,0.1,1293,135,3463,1585,0.4,1.7,6.8,4000,Gypsum,28.512148,34.957213,1089
14,7.4,380,3028,427,10,133,482,159,1562,298,48,1,0.1,1615,130,4758,1730,0.8,1.7,7.1,3000,Gypsum,28.448275,34.93563,864
15,7.4,378,2583,456,39,96,400,183,1349,350,46,0.9,0.1,1535,150,4253,1670,1,1.9,7.3,9000,Volcanic,28.625897,35.051013,1494
16,7.8,377,1124,262,4,38,109,153,568,92,39,0.9,0.1,812,125,2544,1420,0.4,1.9,7,7000,Alkaline+Granite+Volcanic,28.612935,35.218209,2284
17,7.8,377,800,246,16,26,64,171,426,120,28,1,0.1,723,140,2122,1322,0.4,2,6.2,5000,Gypsum+Sandstone,28.54015,35.065537,1167
18,7.2,389,3080,506,24,27,1816,110,3408,408,47,0.8,0.1,1376,90,4838,1758,1.2,1.6,6.9,9000,Sand,29.248557,35.017044,1032
19,7.1,394,6703,461,24,29,2661,128,4686,331,46,0.8,0.1,1272,105,8835,2132,1.2,0.4,6.2,13000,Sand,29.235329,34.969706,279
20,7,387,10018,900,29,56,3879,116,7455,302,43,0.8,0.3,2478,95,12722,2704,1.2,1.5,6.9,11000,Sand,29.291152,34.977884,403
21,7,382,2142,290,20,21,1251,153,1349,1402,45,1,0.1,811,125,3762,1620,1.6,1.8,7.3,10000,Sand,29.336922,34.981922,552
22,7.1,388,5010,677,21,29,1639,110,3408,465,27,1,0.2,1810,140,6940,1930,1.2,1.1,6.7,7000,Sand,29.319727,35.032035,1245
23,7.6,355,406,239,5,12,207,159,213,612,44,1,0.1,646,130,1698,1292,1.2,1.9,7.3,200,Alkaline+Granite,29.24509,35.185575,2831
